,Date,Weighted Share of Coal,Weighted Share of Gas,Weighted Share of Oil,Weighted Share of Nuclear,Weighted Share of Hydro,Weighted Share of Wind,Weighted Share of Solar,Weighted Share of Other renewable,Year
0,2019-09-01,0.3200589138527082,0.091060348,0.010981517,0.029759813166111912,0.4869159172881856,0.04505548073336579,0.013119513959628492,0.0026481680000000002,2019
1,2019-10-01,0.36244664723224423,0.097785059,0.011700833,0.031117782028826226,0.428298472445448,0.0504588700800681,0.014775947213413543,0.00291609,2019
2,2019-11-01,0.41051019025034985,0.105089616,0.011351844,0.03438482788325064,0.3612131604514417,0.0563007048616445,0.016585675553313216,0.003691229,2019
3,2019-12-01,0.4931299705063616,0.099362417,0.011346918,0.03122517583175281,0.2807508179343446,0.062155700234201236,0.018308461493339773,0.003593093,2019
4,2020-01-01,0.5110993544032885,0.102584317,0.011082223,0.031524843584905655,0.25617696339406304,0.06265787543414048,0.0216248811836024,0.002975832,2020
5,2020-02-01,0.51905071521978,0.10103414399999999,0.010399938,0.03191741962542667,0.24732531197563817,0.0645282084318655,0.02204498174728966,0.002898475,2020
6,2020-03-01,0.5126311455021384,0.12135947799999999,0.012185808,0.03731215001756957,0.22815441679352638,0.06250906342668602,0.021725001260079493,0.00402147,2020
7,2020-04-01,0.5049375987425653,0.130503589,0.013209335999999999,0.0398971708511926,0.22461011391164623,0.06054075887263403,0.021439174621961883,0.0045605409999999996,2020
8,2020-05-01,0.41031999593189394,0.152463576,0.014154248999999999,0.05052364922337864,0.29549161896247755,0.05151843832771344,0.019214900554536465,0.005312255,2020
9,2020-06-01,0.32626363064655706,0.134009221,0.011476836,0.03866384960172135,0.3788614751923463,0.0439798889249391,0.015462375634436178,0.004606898,2020
10,2020-07-01,0.3124599251987701,0.123837752,0.010443855,0.03494394416252382,0.4585246746512396,0.04139043658861689,0.013963665398849643,0.004034262,2020
11,2020-08-01,0.31454965080057684,0.12195608599999999,0.009672707,0.03469595854182983,0.46143955842859585,0.04024983551386011,0.013492136715137276,0.003542414,2020
12,2020-09-01,0.27615277685594974,0.115759157,0.009718176,0.03734827569162147,0.5038343683346589,0.03894438306036164,0.01331718305740828,0.004757802,2020
13,2020-10-01,0.31605946880355895,0.11417024199999999,0.010725274,0.03839878767840764,0.4566452294439749,0.04297211969964787,0.015630576374410517,0.005165294,2020
14,2020-11-01,0.3919334606853456,0.153643237,0.014868789999999998,0.052271108569681486,0.3062376120401119,0.05453277484853918,0.019697103856321764,0.006671206,2020
15,2020-12-01,0.44855283492256615,0.167743309,0.017266405999999998,0.05529902417982116,0.22365575385949632,0.05856483576552043,0.022351194272596037,0.006719605,2020
16,2021-01-01,0.4700526110258817,0.162850369,0.01591549,0.05497591301190852,0.19713705789079455,0.06409231836292095,0.02740431970849421,0.007176521000000001,2021
17,2021-02-01,0.46261661933340037,0.170221175,0.015775268000000002,0.06082406449196648,0.18983902594041288,0.06438781877437065,0.027976805459849673,0.0077127110000000006,2021
18,2021-03-01,0.4631272252529962,0.178558548,0.016880739,0.06078099190800833,0.17750325118821536,0.06662569154611594,0.02812926910466423,0.008100304000000001,2021
19,2021-04-01,0.43002887907506065,0.185375795,0.017243790999999998,0.06370582822468654,0.20451525355299743,0.0635741451464843,0.026803518000771034,0.008513136000000001,2021
20,2021-05-01,0.40455403360166436,0.18849840099999998,0.016856885,0.06869689050689938,0.22441755520325468,0.062429598649615746,0.02557149503856579,0.008825043000000001,2021
21,2021-06-01,0.31814446588281653,0.21704349,0.016032838,0.08140711397971143,0.2791061178475564,0.05500918679245978,0.022633598497455873,0.010330160000000001,2021
22,2021-07-01,0.26652906299999995,0.318707928,0.020292005,0.123864877,0.175924721,0.053305652,0.024517295999999997,0.016169456,2021
23,2021-08-01,0.28825598900000005,0.313219825,0.017960419,0.120687056,0.165528457,0.053040142,0.025371586999999998,0.015650201,2021
24,2021-09-01,0.388557768,0.24254502100000003,0.009429234,0.09959330300000001,0.15713940499999998,0.057286396999999996,0.029069928999999998,0.016049556,2021
25,2021-10-01,0.371257713,0.256426527,0.010728737,0.10521871000000001,0.15247261599999998,0.058193488,0.029257695,0.015905099,2021
26,2021-11-01,0.36252084199999995,0.26111274599999995,0.010578389999999998,0.10990200799999998,0.148635687,0.060454795,0.029913624999999996,0.016341579,2021
27,2021-12-01,0.362512545,0.255580059,0.009259073000000001,0.11259166600000002,0.14740167399999998,0.063806544,0.031013123,0.016996880000000002,2021
28,2022-01-01,0.365473339,0.24968094800000004,0.008863956,0.11300841600000003,0.148682768,0.065165043,0.031735155,0.017156665,2022
