YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),ENERGY SHARE
2004,AK,Total Electric Power Industry,Coal,648980,0.0994343634453307
2004,AK,Total Electric Power Industry,Gas,3623433,0.555169271536573
2004,AK,Total Electric Power Industry,Hydroelectric,1498020,0.2295211949958
2004,AK,Total Electric Power Industry,Nuclear,0,0
2004,AK,Total Electric Power Industry,Oil,747068,0.11446305129646
2004,AK,Total Electric Power Industry,Other,9217,0.00141219533402511
2004,AK,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,AK,Total Electric Power Industry,Total,6526717,0.999999923391812
2004,AK,Total Electric Power Industry,Wind,0,0
2004,AL,Total Electric Power Industry,Coal,74831624,0.544860794910693
2004,AL,Total Electric Power Industry,Gas,16158961,0.117655930270749
2004,AL,Total Electric Power Industry,Hydroelectric,10626221,0.077371182281928
2004,AL,Total Electric Power Industry,Nuclear,31635789,0.230345143146525
2004,AL,Total Electric Power Industry,Oil,295025,0.00214812331239166
2004,AL,Total Electric Power Industry,Other,3779233,0.0275171884086429
2004,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,AL,Total Electric Power Industry,Total,137354771,1.00010163766907
2004,AL,Total Electric Power Industry,Wind,0,0
2004,AR,Total Electric Power Industry,Coal,25353563,0.488426487319832
2004,AR,Total Electric Power Industry,Gas,5068764,0.097647758446149
2004,AR,Total Electric Power Industry,Hydroelectric,3668184,0.0706661318554244
2004,AR,Total Electric Power Industry,Nuclear,15449851,0.297635344331871
2004,AR,Total Electric Power Industry,Oil,538941,0.0103824878382039
2004,AR,Total Electric Power Industry,Other,1810379,0.0348762442457334
2004,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,0
2004,AR,Total Electric Power Industry,Total,51927632,1.00036554596279
2004,AR,Total Electric Power Industry,Wind,0,0
2004,AZ,Total Electric Power Industry,Coal,39810556,0.383234643608335
2004,AZ,Total Electric Power Industry,Gas,28264943,0.272091285467475
2004,AZ,Total Electric Power Industry,Hydroelectric,6919707,0.0666122685153933
2004,AZ,Total Electric Power Industry,Nuclear,28112609,0.27062484862094
2004,AZ,Total Electric Power Industry,Oil,40516,0.000390025570615876
2004,AZ,Total Electric Power Industry,Other,43998,0.000423544897224734
2004,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,4265,4.10568431897698E-05
2004,AZ,Total Electric Power Industry,Total,104564143,1.00658232647683
2004,AZ,Total Electric Power Industry,Wind,0,0
2004,CA,Total Electric Power Industry,Coal,2237808,0.0115015325565165
2004,CA,Total Electric Power Industry,Gas,102288198,0.52572474468069
2004,CA,Total Electric Power Industry,Hydroelectric,33324098,0.171273942207529
2004,CA,Total Electric Power Industry,Nuclear,30267887,0.155566111010177
2004,CA,Total Electric Power Industry,Oil,2262897,0.011630481041065
2004,CA,Total Electric Power Industry,Other,19094134,0.0981370179387546
