region,country/state,level,code3,country,country_id,province_code
europe,Russia,countries,RUS,Russian Federation,181,
europe,Germany,countries,DEU,Germany,144,
europe,United Kingdom,countries,GBR,United Kingdom,212,
europe,France,countries,FRA,France,56,
europe,Italy,countries,ITA,Italy,67,
europe,Spain,countries,ESP,Spain,188,
europe,Ukraine,countries,UKR,Ukraine,207,
europe,Poland,countries,POL,Poland,88,
europe,Romania,countries,ROU,Romania,90,
europe,Netherlands,countries,NLD,Netherlands,80,
europe,Belgium,countries,BEL,Belgium,32,
europe,Czech Republic (Czechia),countries,CZE,Czech Republic,20,
europe,Greece,countries,GRC,Greece,45,
europe,Portugal,countries,PRT,Portugal,179,
europe,Sweden,countries,SWE,Sweden,208,
europe,Hungary,countries,HUN,Hungary,59,
europe,Belarus,countries,BLR,Belarus,115,
europe,Austria,countries,AUT,Austria,106,
europe,Serbia,countries,SRB,Serbia,183,
europe,Switzerland,countries,CHE,Switzerland,218,
europe,Bulgaria,countries,BGR,Bulgaria,121,
europe,Denmark,countries,DNK,Denmark,156,
europe,Finland,countries,FIN,Finland,53,
europe,Slovakia,countries,SVK,Slovak Republic,185,
europe,Norway,countries,NOR,Norway,84,
europe,Ireland,countries,IRL,Ireland,149,
europe,Croatia,countries,HRV,Croatia,12,
europe,Moldova,countries,MDA,Moldova,91,
europe,Bosnia and Herzegovina,countries,BIH,Bosnia and Herzegovina,119,
europe,Albania,countries,ALB,Albania,24,
europe,Lithuania,countries,LTU,Lithuania,192,
europe,North Macedonia,countries,MKD,North Macedonia,105,
europe,Slovenia,countries,SVN,Slovenia,99,
europe,Latvia,countries,LVA,Latvia,28,
europe,Estonia,countries,EST,Estonia,140,
europe,Montenegro,countries,MNE,Montenegro,165,
europe,Luxembourg,countries,LUX,Luxembourg,72,
europe,Malta,countries,MLT,Malta,76,
europe,Iceland,countries,ISL,Iceland,147,
europe,Andorra,countries,AND,Andorra,22,
europe,Monaco,countries,MCO,Monaco,2,
europe,Liechtenstein,countries,LIE,Liechtenstein,161,
europe,San Marino,countries,SMR,San Marino,5,
europe,Holy See (Vatican City),countries,OWID_WRL,,,
europe-west,Germany,countries,DEU,Germany,144,
europe-west,France,countries,FRA,France,56,
europe-west,Netherlands,countries,NLD,Netherlands,80,
europe-west,Belgium,countries,BEL,Belgium,32,
europe-west,Austria,countries,AUT,Austria,106,
europe-west,Switzerland,countries,CHE,Switzerland,218,
europe-west,Luxembourg,countries,LUX,Luxembourg,72,
europe-west,Monaco,countries,MCO,Monaco,2,
europe-west,Liechtenstein,countries,LIE,Liechtenstein,161,
europe-north,United Kingdom,countries,GBR,United Kingdom,212,
europe-north,Sweden,countries,SWE,Sweden,208,
europe-north,Denmark,countries,DNK,Denmark,156,
europe-north,Finland,countries,FIN,Finland,53,
europe-north,Norway,countries,NOR,Norway,84,
europe-north,Ireland,countries,IRL,Ireland,149,
europe-north,Lithuania,countries,LTU,Lithuania,192,
europe-north,Latvia,countries,LVA,Latvia,28,
europe-north,Estonia,countries,EST,Estonia,140,
europe-north,Iceland,countries,ISL,Iceland,147,
europe-east,Belarus,countries,BLR,Belarus,115,
europe-east,Bulgaria,countries,BGR,Bulgaria,121,
europe-east,Czech Republic (Czechia),countries,CZE,Czech Republic,20,
europe-east,Hungary,countries,HUN,Hungary,59,
europe-east,Poland,countries,POL,Poland,88,
europe-east,Republic of Moldova,countries,MDA,Moldova,91,
europe-east,Romania,countries,ROU,Romania,90,
europe-east,Russian Federation,countries,RUS,Russian Federation,181,
europe-east,Slovakia,countries,SVK,Slovak Republic,185,
europe-east,Ukraine,countries,UKR,Ukraine,207,
